ENC_ID,ENC_COMMENTS,LOC_DEETS,ENC_COUNTY,NUM_ENC,ENC_STATE,STATE_ABRV,ENC_SEASON,FIPS,CONFIRMED_SIGHTING
1,Foot print found 12-4-13. Wife had sighting 2 months before we found tracks today. Bigfoot has been in this area and active for the last few months. ,The community is Rabbittown  it is halfway between Haleyville and Double Springs near the Bankhead National Forest ,Winston,1,Alabama ,AL,Winter ,1133,no
2,I was on the side of a hill with three bench flats. I was on the middle flat in my tree climber.   I was hunting by myself and heard two knocks on a tree to the west about almost to the hill top.  After about 45 seconds I heard another knock on a tree low  behind me.  I did not see anything or hear anything else.  I reported this before but called the tree knocks Bonks.   Also while hunting near Kimbrough  AL I heard one tree knock again. This was about 15 30 or 16 00 while I was in my tree climber. ,During Deer season and in a tree climber. ,Wilcox,1,Alabama ,AL,Winter ,1131,no
3,I stopped my car to go to the bathroom because I had to go bad and in the woods next to the road there was a horrible hairy man-like creature. It walked toward me and snorted. I was so scared. It had what looked like a small limb or something in its hand. It came up to three feet of me  grunted and walked off. I ran back to the car and got away. I saw it standing in my rear view mirror as I drove away. It was at the edge of the road. I think this monster is dangerous. ,Washington County  on Alabama Highway 56  between Chatom and Wagarville. At the top of the hill about two miles west of Wagarville. ,Washington,54,Alabama ,AL,Winter ,1129,yes
4,This happened in 1988 in Nauvoo AL.  I was 14 years old. I was at home in my living room watching TV and my brother was outside working on a car. We were the only ones at home.  The front door was located in the living room. We never used this door because we had no steps to it and the door was about 4 feet from the ground. So we used the back door of the house. I was sitting on the couch watching TV when the door began to move and the door knob was turning. The only thing holding the door shut was a nail someone had nailed at the top of the wall and bent it over to hold the door shut. I first thought it was my brother but he knew we didn  t use the door. As the door was moving just a little I noticed at the bottom of the door where there was a gap  3 fingers slide under the door. My heart began to beat faster  I tried to move but I couldn  t at first. Then I wanted so bad to look out the window beside the door but I was too scared. These fingers were very long and the nails were long too and black. The hand like finger had hair on it dark brown. The hair was long. This only lasted for 3 min. When the fingers move out from the gap the door knob and the door stop moving. About 45 min. later my brother came inside and I asked him why he was trying to use the front door he said he hadn  t. I didn  t tell him what happened until sometime later. Because of fear he wouldn  t believe me and the fear of him using this to scare me later on. ,Wooden area. Just past the intersection of Trotter Rd. and Nichols Rd. On the right about 40 yards past intersection going north away from Jasper. ,Walker,13,Alabama ,AL,Summer ,1127,yes
5,A friend and I were fishing on Holt lake in tuscaloosa county on day after work.  It was a thursday about mid july of last year (1999).  We had gotten on the water about 6 30 and started fishing.  We put in at Rocky Branch and went up river towards the upper end lock.  Towards night fall we started fishing back toward the launch.  about 11 30 we were fishing a secluded part of the shoreline.  The nearest house was probably 2-3 miles down river.  We were fishing close to the bank when I heard something walking at the top of the hill.  I figured it was a deer and didn  t pay it any more attention.  As we proceeded down the bank the sound started down the hill towards us.  There were two distinct foot steps instead of four like a deer.  I thought I was hearing things so I looked back at my buddy and he was looking up the hill towards the sound.  We decided to go look for another fishing spot (because we were getting a little spooked)and started putting everthing up to make our run.  As we were doing that  whatever it was broke into a run towards us.  Before we could get the boat cranked the creature let out the most herendous snarl and growl I had ever heardand then hit the water after us.  We both love to hunt and spend alot of time outdoors but neither of us had ever heard anything like that  nor could we duplicate it when we would tell people of our encounter.  I hadn  t thought anything else about it until we got on this web site and heard the recording of the growl sound.  That was the closest thing I have heard to the sound we heard that night.  I  v read that usually there is a strong musty smell preceeding most encounters  but we didnt smell anything unusual. Perhaps this was due to the fact that we were in a cross wind with the creature.  We don  t know exactly what it was because we havent gotten up the nerve to go back and look around.  That was probably the last time I have been on the lake.  Everyone we told about this said we were crazy and were hearing things  but none of them will go back with me at night to look for it.  Due to the pale color of my face when I got home about 45min-1hrs later  my girlfriend will not even go the lake.  Its about 30min off of HWY59 exit 100 in brookwood Al. ,Go south on I59 towards Tuscaloosa to exit 100.  Take a right onto HWY216. go about 10-15 miles and hang a right at the sign to Rocky Branch. ,Tuscaloosa,4,Alabama ,AL,Summer ,1125,yes
6,Not a good writer  but what happened to me and a friend  - we were walking down an old pulpwood road with his german shepherd  and got a strong smell like a goat and stopped my friend. I walked ahead about 20 ft and said it might be a big rattle snake  about that time I heard leaves rustling and it got louder and a tree about 6 inches around shook back and forth about 2 feet each way and I heard the leaves moving like something was running away. I pulled some branches back and there it was  about 20 feet running away on 2 legs at a very fast pace. It was about 8 feet tall and I could see its muscles in its legs moving and the whitish skin under the 3 inch black hair. Long arms no neck as plain as day. My friend never saw it and didn  t believe me. But it changed my life. Would like for someone to call me. Two weeks later in the dentist was an outdoors magazine with the Patterson film in it. ,We were right behind a large reservoir that held water for Russell Mills ,Tallapoosa,1,Alabama ,AL,Summer ,1123,yes
7,When I was around 11 years old  I had a strange encounter in the field behind my house.  At that time  I believed I saw a crazy old man  but I now realize that is all I could rationalize it to be. I was walking alone at dusk with my dog.  This was not unusual as I loved to be outside- my parents often had to force me inside by calling me in for the night.  Well  from what I can remember of that particular night  I was picking up rocks in a ditch and looking at them.  I might have been looking for a certain kind of rock but I can  t remember exactly what I was doing.  It was definitely getting dark  but I could still see well enough to keep after the rocks for awhile longer.  I remember holding a stick I was using to pry rocks out of the dirt.  It was very quiet and still and there wasn  t much wind.  As I was looking at the ground  I heard a noise in front of me and I looked up to see what it was  and that is when I saw him.  He stood right in front of me at a distance of 5 to 10 feet  he was tall  but hunched and quietly staring right at me.  He wasn  t much taller than a normal man  but I got the impression he was old because he was hunching.  He looked like Rip Van Winkle to me  and that is what I thought of when I saw him.  He had a long shaggy beard around his facial area  but he was completely naked but for the long shaggy hair that was in matts all over his body.  I remember the hair was thin at his face  the base of his neck  and upper torso  but thicker around his beard  lower torso and legs.  All the hair was grayish white and very long and shaggy.  Mats of hair dangled from him in tatters.  His feet were bare.  His face was very humanlike  but not quite normal as it had very exaggerated wrinkles- again  a reason I thought he was a crazy old man.  His head seemed normal  but there was so much hair it was hard to make out his features except where the hair was thinner.  He appeared gaunt and thin  but in just a moment I would realize he was not like an old man at all.  I screamed as loud as I could out of fear and I noticed my dog bolted towards the house while I was taking in the sight of this strange thing in front of me.  The shaggy old man let out a scream of his own when I screamed.  He was staring right at me screaming in a voice that sounded like a woman shrieking- he seemed very scared of me as well.  I turned to run for my house.  I looked over my shoulder to see if he was following me and I saw him run up the ditch in the other direction.  He was extremely agile and fast- he was definitely not Rip Van Winkle.  He ran in a full sprint  very quickly for someone so hunched. I think I caught the dog running back to the house  as I was so frightened.  I remember running into the kitchen and telling my Mom there was a crazy old Rip Van Winkle in the field.  I remember describing how he was old looking  hunched  naked  and his hair was very long and matted like he hadn  t cut it in 20 years.  I told her about how he had hair all over his body.  Needless to say  I wasn  t believed.  I became obsessed with what I called  the Shaggy old man  or  the Crazy old man .  I believed that he must have been an old deformed hermit.  I kept a notebook in which I drew many sketches of him.  I remember keeping the notebook secret from my family  hiding it out of fear of being ridiculed.  I wish I had those sketches now but sadly I  ve misplaced that notebook.  I remember I went back to the spot in the field looking for him on other occasions  but I never ran into him again.  I wasn  t aware enough to look for prints or anything like that  but I knew that he was out there somewhere and I wanted to prove he really existed to others. What changed my opinion of this sighting was a late night visit to a bigfoot website.  I was just browsing their sightings index and I came across several sightings in the same county I lived in and all described white or grayish colored creatures.  Honestly  I didn  t realize bigfoot were sighted in this part of the country at that time  or even for most of my life  and just seeing all those other sightings was a revelation.  I realized for the first time that what I witnessed may not have been a crazy old shaggy man  but rather a bigfoot.  When I think back on the sighting  it all makes sense in that light.  There would be no reason for a naked old man to wander that field  much less to be covered in grayish  white  shaggy tattered hair.  The only reason I never thought of it as a bigfoot before was that I had never heard of an Alabama bigfoot  so the thought never entered my mind.  Also  I had never heard of a whitish gray colored bigfoot  and this creature was thinner than a typical bigfoot description- maybe he was older or maybe even younger.  He looked a bit hungry to me  as he was not some hulking powerful creature  but he was still strong looking and extremely agile. ,Around Moody  Alabama. ,St. Clair,10,Alabama ,AL,Fall ,1115,yes
8,I was coming home from work  turning off a major 4 lane hiway.  After aproximately 1/4 mile  near a new subdivision  I saw something moving very fast  as it ran across the hiway in front of my car. It appeared to be 8 to 10 feet tall  with reddish-brown looking hair. It didn  t look at me  but I noticed long hair from its arms  legs and also shoulders. It moved across the road  it appeared  in 4 to 5 strides running. ,Shelby Co. Road 43 north  off State Hwy 280. After approximately 1/4 mile  there is a man made lake on right  with houses on left and up behind lake. ,Shelby,9,Alabama ,AL,Winter ,1117,yes
9,1981--My first encounter (Sept.)  My girlfriend  her father and I were parked on the bank of the Chattahoochee river.  My girlfriend  s father was sitting on the hood of the car with his fishing pole in front of him.  He was night cat-fishing.  While we sat there  with the car lights shining across the river  my girlfriend and I were sitting in the front seat just making small-talk (honest)  when all of a sudden I heard the most horribly incredible scream coming from my right side.  To set the scene   Our car was parked about two feet from the water  on the bank.  Off to my right about 60 feet was where the foliage began. Very swampy  very thick  and very hard to walk through.  About 40 feet further up the bank (which can  t be seen from our car because of the foliage) is a huge oak tree.  I  d have to guess that the tree had about a 15 foot circumference - massive!  About 10 feet up the tree is a huge branch that went about 20 feet out over the river.  My friends and I would climb the tree and jump/dive into the river at least once every couple of weeks or so.  During one occasion  there were about 9 of us standing on this branch attempting to make it move - we barely made it do anything  let alone shake! Anyway  back to the car. As I heard the scream  my body instantly went into what I think was shock.  As I turned to my right s.l.o.w.l.y.. with all my hair standing straight-up  we heard the next sound~~~>  a chuuu..chuuu..chuuu..chuuuuuuu... (my feeble attempt to describe the sound of that huge branch I mentioned earlier that was shaking due to something GIGANTIC jumping off it into the water.  The splash that came next was equally as horrific.  All we did was just sit there in shock...waiting (I don  t know why)  staring at this point - straight ahead at the water.  My guess is that we were waiting for the thing to float into our headlights. We waited and waited and waited and all of a sudden an object - black - long - I would guess at least 9-10 feet  floated into our headlights and stopped. Please keep in mind that this action was deliberate  because it was floating downstream.  We stared at it forever it seemed.until it opened it  s eyes - two huge balls of red (reflecting off the headlights of our car I imagine) light and looked at us.  My girlfriend  s father at this point put the car into reverse  and we sped off.. extremely terrified. 1982--My second encounter (April)  My girfriend and I were driving back from our senior prom (Georgia - chattahoochee river border area).  Our high school was 37 miles down-river  way-out  in the boon docks.   Anyway  as we were driving back home  we came to a flat 2-mile section of road that had a  slippery-when-wet  sign. Because we were tired   sober   with road-hypnosis  the sign reflection caught our attention (she told me after).   As we came closer to the sign  something moved or reflected as we came closer - getting our attention. About 100 feet away  with our car lights fully shining on the it  we saw this massive  black creature leaning on the sign.  The top of the sign I guessed to be about 10 feet.  Whatever this creature was  all we could see was the top of the chest and down (about 10   of the creature!) we couldn  t see the head.  It just stood there - we could see the massive muscles - most in rippling detail  shiny-black fur  standing with intelligence if you can understand that term  etc.  We sped-up all the while screaming at each other - scared to death.  A mile down the road  my left-rear tire blew out.  I drove 7 miles to the first house with a light and called my father to come out and help us.  While at this home  we talked with a few of the people that were there (they were having a party).  We were told a couple of stories about a missing hunter  animals found gutted or with their head missing.  A lot of strange screams in the night  etc.  First  I must say beyond a shadow of any doubt that this was no hoax - the costume alone would have cost thousands and thousands of dollars to create.  Second  the people that live in the area are extremely poor.  As a matter of fact  the home that we drove-up to after our tire blew  had light seeping through the cracks in the siding of the house  while it sat on cinder blocks - very poor people! ,1981--Bank of the Chattahoochee River 1982--Highway 431N.  Roughly  the sighting occurred at Michael Tigner Dr.  about 3-4 miles North of Seale  AL.  Shouldn  t be too hard to find  since it was the only  yield  or  slippery when wet  sign on the right-hand side (heading North) ,Russell,1,Alabama ,AL,Fall ,1113,yes
10,I had noted on my Limestone  Alabama Spring 1978 sighting report that I would eventually submit other sightings that involved myself  others I know or did know or had learned from talking with others. I did not know it would be this long to submit them  but I have since married  had a child  lived in three different locations  had five different jobs among other things since I last submitted that Limestone  Alabama sighting. This sighting/encounter below involved myself  and two freinds  it unexpectdly and without intent being my second. The event I relate here happened to me and two friends in April of 1994 while I was attending Troy State University  Troy. I was undertaking graduate studies at the time. I lived in a campus dorm and had become friends with several people in the dorm and about campus. One of these friends stayed in a room a few doors down. He dated a young woman that stayed in the International House across campus. I had been studying on that paticular night I write of and had become bored with it. My friend knocked on the door and came in. I for the most part had an  open door policy . The door may be open  but knock before you enter so I  ll know you are there. As Kevin and I talked we agreed to go pick up his girlfriend  Donna and go to  Lookout Mountain .  I had been out to the place once before during the day about a month earlier so I offered to drive. We left campus around 11 pm or so. We headed up Hyw. 231 north. About 8 miles from the Campus we turned west/northwest (left) onto Co. Rd. 17   As we got closer to the so-called Lookout Mountian we noticed fewer and fewer houses. After about 15 minutes of driving we had found it and proceeded to park just off the road. We got out of my vehicle and then walked up to the top of this large hill. The hill is about 100 feet high from what I remember. It is supposedly the highest point in Pike County. The place seemed to be a well known and well used spot with open areas about the path to the top  besides one could see for several miles to the west  south and east from atop this hill. I recall seeing the rotating beacon that night at the Troy Airport several miles to the south. I knew we were not the first people to walk to the top and hang out nor were we going to be the last. Everything seemed cool. After about 15 to 20 minutes we three decided to head downhill toward the car and find something else to get into. I think we had decided we were going to go to Subway for a late night snack. Now here is where it got weird. Just after we started downhill I began getting a funny feeling and the hairs started to rise on the back of my neck  like something was there and we were being watched. Seeing how we were out at night in the country plus having a lady with us  Kevin and I had decided not to be foolish. We had both brought along weapons. I had a Colt .38 stuffed in the back of my pants in its holster and a few extra rounds in my pocket plus a good sharp replica Samurai sword. (Yes  a sword). My friend had a Glock 9mm and an extra magazine of rounds. My friend was in the National Guard at the time. I pulled out the .38 before we got even midway downhill. I had looked over to where Kevin and Donna were to my right. He had already taken out his 9mm so I knew he also sensed something by then as well. It was also about this time that we started hearing rather heavy footsteps. As we moved along I notcied the steps were on both sides of us. By the time we had arrived midway downhill we were aware that there were five maybe six...somebodys or somethings out not far from us. I recall that there were two and I  m pretty sure a third distinct grouping of footfalls to my left and two off to my right. Kevin was closest to the ones on my right so I  m sure he had heard them much better. Also by this time our Donna had become almost hysterical. I  m sure her few screams did not help matters much. Kevin said that it might be some other people messing with us like Frat boys. We stopped breifly. He shouted a few warnings that whomever was there had better leave us alone or speak up  he was ready to open fire. No answers. Nothing. I remained quiet  listening. Now any person in their right mind (perhaps even in a drunken state of mind) would have said something in order to keep from being shot at  I would think  yet there were no answers  no response of any sort. Just slience. We then continued to move downhill toward my vehicle but whatever they were kept back a bit and out of our sight and also to our sides yet they kept moving down along with us  not trying to hide their footfalls. As we approached the bottom of the hill we ran for it   got into the my car as fast as we could   cranked it up quickly   backed up  and took off back the way we had came. I am not sure if whatever they were moved out into the dirt road behind us or not as we drove off. I looked back but  it was really too dark to tell. Aside from that the road was narrow and had trees along each side of it and I was being as careful as I possibly could so as not to run off this road. I don  t recommend under such cirmstances trying to drive out of such a place and look back at the same time. It took several minutes after we got back onto Hwy. 231 for Donna to calm down. I was shaken up but not too bad. I suppose the driving had something to do with it. I  m not sure how Kevin felt. I assume that his military training had taken over for a time back on that hill. We never saw what they were. Except for the footsteps they were otherwise quiet. At first I was not sure what they may have been however after considering the strange activites I felt they could very well have been bigfoots. I still feel that is what they were though I can never be 100% sure. Even so  what they did while we were on Lookout Mountain would seem much like reported and researched bigfoot behavior.  After a few months and leaving Grad school I eventually lost contact with those two friends. I  ve not been back to Lookout Mountain since even though I have traveled up and down that part of 231 near there many times. I  m sure with a little driving about those dirt roads off Co. Rd. 17 I can find that hill again. I  m just not too sure I  d want to find it once again at night.  ,The place of the sighting is in North/Northwestern Pike County at a place known by the name  Lookout Mountain . It is not a mountain at all  just a big hill. It is supposed to be the highest point in Pike County  at approx. 100 feet high. Go north on Hwy. 231 out of Troy. Turn left (west/northwest) onto Co. Rd. 17. The  mountain  is a few miles back. Somewhere down Co. Rd. 17 the pavement ends and it becomes a dirt road (if that dirt section has not since been paved) from what I recall. There are other dirt roads going off Co. Rd. 17. Lookout Mountain is just off one of those dirt roads on the left. I may have actually made a right turn somewhere off Co. Rd. 17 to get to Lookout Mountain. I don  t really remember. Besides it was only the second  and last time I had gone out to this place. ,Pike,15,Alabama ,AL,Spring ,1109,yes
