id,address,city,state,zip,county,Activities,pet_friendly,camp_type,natural_features,num_enc
1,"137 East 53rd Avenue","Anchorage ",AK,99518,Anchorage,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",2
2,"3815 Williams Street","Anchorage ",AK,99508,Anchorage,"Climbing, Hiking, Biking",NO,"RVs, Tents","Forest, Mountains",2
3,"11300 Lillian Lane","Anchorage ",AK,99515,Anchorage,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",2
4,"6143 Prosperity Drive","Anchorage ",AK,99504,Anchorage,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",2
5,"2314 Marian Bay Circle","Anchorage ",AK,99515,Anchorage,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",2
6,"22424 Birchwood Loop Road","Anchorage ",AK,99567,Anchorage,Hiking,YES,"Lodging, RVs, Tents",Forest,2
7,"18318 Pioneer Drive","Anchorage ",AK,99577,Anchorage,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",2
8,"341 West Tudor Road","Anchorage ",AK,99503,Bethel,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",1
9,"410 West 89th Avenue","Anchorage ",AK,99515,Anchorage,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",2
10,"325 Irwin Street","Anchorage ",AK,99508,Anchorage,"Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",2
11,"12330 Old Glenn Highway","Anchorage ",AK,99577,Anchorage,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",2
12,"12870 Old Seward Highway","Anchorage ",AK,99515,Anchorage,Hiking,YES,"Lodging, RVs, Tents",Forest,2
13,"1413 G Street","Anchorage ",AK,99501,Anchorage,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",2
14,"8001 East 6th Avenue","Anchorage ",AK,99504,Anchorage,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",2
15,"3505 Richmond Avenue","Anchorage ",AK,99508,Anchorage,"Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",2
16,"7817 Moose Run Circle","Anchorage ",AK,99507,Anchorage,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",2
17,"1300 East Dowling Road","Anchorage ",AK,99518,Anchorage,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",2
18,"5630 Silverado Way","Anchorage ",AK,99518,Anchorage,Hiking,YES,"Lodging, RVs, Tents",Forest,2
19,"2140 Colony Loop","Anchorage ",AK,99507,Anchorage,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",2
20,"645 G Street","Anchorage ",AK,99501,Anchorage,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",2
21,"201 East 16th Avenue","Anchorage ",AK,99501,Anchorage,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",2
22,"4907 Roger Drive","Anchorage ",AK,99507,Anchorage,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",2
23,"11160 Vosikof Place","Anchorage ",AK,99507,Anchorage,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",2
24,"9223 Elgin Circle","Anchorage ",AK,99502,Anchorage,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",2
25,"3555 Alamosa Drive","Anchorage ",AK,99502,Anchorage,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",2
26,"619 West 19th Avenue","Anchorage ",AK,99503,Bethel,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",1
27,"10891 Kamishak Bay Circle","Anchorage ",AK,99515,Anchorage,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",2
28,"57413 Taku Avenue","Homer ",AK,99603,"Kenai Peninsula","Climbing, Hiking, Biking",YES,RVs,"Forest, Mountains",0
29,"1427 H Street","Anchorage ",AK,99501,Anchorage,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",2
30,"1600 West 11th Avenue","Anchorage ",AK,99501,Anchorage,Hiking,YES,"Lodging, RVs, Tents",Forest,2
31,"5116 Emmanuel Avenue","Anchorage ",AK,99508,Anchorage,"Boating, Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",2
32,"108 East 11th Avenue","Anchorage ",AK,99501,Anchorage,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",2
33,"519 West 75th Avenue","Anchorage ",AK,99518,Anchorage,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",2
34,"1320 Huffman Park Drive","Anchorage ",AK,99515,Anchorage,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",2
35,"12800 Saunders Road","Anchorage ",AK,99516,Anchorage,"Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",2
36,"20117 Lucas Avenue","Anchorage ",AK,99577,Anchorage,Hiking,YES,"Lodging, RVs, Tents",Forest,2
37,"700 Winston Place","Anchorage ",AK,99504,Anchorage,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",2
38,"4601 Reka Drive","Anchorage ",AK,99508,Anchorage,"Climbing, Hiking, Biking",NO,"RVs, Tents","Forest, Mountains",2
39,"2903 West 31st Avenue","Anchorage ",AK,99517,Anchorage,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",2
