ENC_COUNTY,ENC_STATE,STATE_ABRV,NUM_ENC,NUM_EST
Bullock,Alabama ,AL,0,0.1
Butler,Alabama ,AL,0,0.1
Calhoun,Alabama ,AL,0,0.1
Chambers,Alabama ,AL,0,0.1
Choctaw,Alabama ,AL,0,0.1
Coosa,Alabama ,AL,0,0.1
Crenshaw,Alabama ,AL,0,0.1
DeKalb,Alabama ,AL,0,0.1
Elmore,Alabama ,AL,0,0.1
Fayette,Alabama ,AL,0,0.1
Geneva,Alabama ,AL,0,0.1
Greene,Alabama ,AL,0,0.1
Hale,Alabama ,AL,0,0.1
Houston,Alabama ,AL,0,0.1
Lawrence,Alabama ,AL,0,0.1
Lowndes,Alabama ,AL,0,0.1
Marengo,Alabama ,AL,0,0.1
Marion,Alabama ,AL,0,0.1
Monroe,Alabama ,AL,0,0.1
Montgomery,Alabama ,AL,0,0.1
Perry,Alabama ,AL,0,0.1
Sumter,Alabama ,AL,0,0.1
Randolph,Alabama ,AL,0,0.1
Autauga,Alabama ,AL,1,1
Conecuh,Alabama ,AL,1,1
Etowah,Alabama ,AL,1,1
Mobile,Alabama ,AL,1,1
Russell,Alabama ,AL,1,1
Tallapoosa,Alabama ,AL,1,1
Wilcox,Alabama ,AL,1,1
Winston,Alabama ,AL,1,1
Baldwin,Alabama ,AL,2,2
Bibb,Alabama ,AL,2,2
Chilton,Alabama ,AL,2,2
Coffee,Alabama ,AL,2,2
Colbert,Alabama ,AL,2,2
Covington,Alabama ,AL,2,2
Cullman,Alabama ,AL,2,2
Dale,Alabama ,AL,2,2
Barbour,Alabama ,AL,3,3
Cleburne,Alabama ,AL,3,3
Dallas,Alabama ,AL,3,3
Escambia,Alabama ,AL,3,3
Limestone,Alabama ,AL,3,3
Talladega,Alabama ,AL,3,3
Blount,Alabama ,AL,4,4
Lamar,Alabama ,AL,4,4
Pickens,Alabama ,AL,4,4
Tuscaloosa,Alabama ,AL,4,4
Lauderdale,Alabama ,AL,6,6
Clarke,Alabama ,AL,7,7
Henry,Alabama ,AL,7,7
Marshall,Alabama ,AL,8,8
Shelby,Alabama ,AL,9,9
Saint Clair,Alabama ,AL,10,10
Macon,Alabama ,AL,11,11
Walker,Alabama ,AL,13,13
Cherokee,Alabama ,AL,15,15
Pike,Alabama ,AL,15,15
Morgan,Alabama ,AL,17,17
Lee,Alabama ,AL,19,19
Clay,Alabama ,AL,22,22
Franklin,Alabama ,AL,23,23
Madison,Alabama ,AL,38,38
Jackson,Alabama ,AL,47,47
Washington,Alabama ,AL,54,54
Jefferson,Alabama ,AL,56,56
