ENC_COUNTY,ENC_STATE,STATE_ABRV,NUM_ENC,NUM_EST
Apache,Arizona ,AZ,11,11
Cochise,Arizona ,AZ,2,2
Coconino,Arizona ,AZ,34,34
Gila,Arizona ,AZ,6,6
Graham,Arizona ,AZ,8,8
Greenlee,Arizona ,AZ,1,1
Maricopa,Arizona ,AZ,6,6
Mohave,Arizona ,AZ,2,2
Navajo,Arizona ,AZ,6,6
Pima,Arizona ,AZ,1,1
Yavapai,Arizona ,AZ,8,8
La Paz,Arizona ,AZ,0,0.001
Maricopa,Arizona ,AZ,0,0.001
Mohave,Arizona ,AZ,0,0.001
Navajo,Arizona ,AZ,0,0.001
Pinal,Arizona ,AZ,0,0.001
Yuma,Arizona ,AZ,0,0.001
Santa Cruz,Arizona ,AZ,0,0.001
