ENC_COUNTY,ENC_STATE,STATE_ABRV,NUM_ENC,NUM_EST,,
Alamosa,Colorado ,CO,1,1,,
Archuleta,Colorado ,CO,3,3,,
Boulder,Colorado ,CO,3,3,,
Chaffee,Colorado ,CO,4,4,,
Clear Creek,Colorado ,CO,1,1,,
Conejos,Colorado ,CO,8,8,,
Costilla,Colorado ,CO,3,3,,
Custer,Colorado ,CO,8,8,,
Delta,Colorado ,CO,15,15,,
Dolores,Colorado ,CO,1,1,,
Douglas,Colorado ,CO,27,27,,
Eagle,Colorado ,CO,6,6,,
El Paso,Colorado ,CO,7,7,,
Fremont,Colorado ,CO,5,5,,
Gunnison,Colorado ,CO,3,3,,
Hinsdale,Colorado ,CO,3,3,,
Huerfano,Colorado ,CO,1,1,,
Jackson,Colorado ,CO,47,47,,
Jefferson,Colorado ,CO,56,56,,
La Plata,Colorado ,CO,1,1,,
Lake,Colorado ,CO,37,37,,
Larimer,Colorado ,CO,8,8,,
Las Animas,Colorado ,CO,1,1,,
Mesa,Colorado ,CO,2,2,,
Moffat,Colorado ,CO,3,3,,
Montezuma,Colorado ,CO,3,3,,
Montrose,Colorado ,CO,1,1,,
Ouray,Colorado ,CO,1,1,,
Park,Colorado ,CO,24,24,,
Pitkin,Colorado ,CO,4,4,,
Pueblo,Colorado ,CO,1,1,,
Rio Blanco,Colorado ,CO,1,1,,
Routt,Colorado ,CO,5,5,,
San Juan,Colorado ,CO,12,12,,
Summit,Colorado ,CO,22,22,,
Teller,Colorado ,CO,9,9,,
Weld,Colorado ,CO,1,1,,
Adams,Colorado ,CO,0,0.001,,
Arapahoe,Colorado ,CO,0,0.001,,
Baca,Colorado ,CO,0,0.001,,
Bent,Colorado ,CO,0,0.001,,
Broomfield,Colorado ,CO,0,0.001,,
Cheyenne,Colorado ,CO,0,0.001,,
Crowley,Colorado ,CO,0,0.001,,
Denver,Colorado ,CO,0,0.001,,
Elbert,Colorado ,CO,0,0.001,,
Garfield,Colorado ,CO,0,0.001,,
Gilpin,Colorado ,CO,0,0.001,,
Grand,Colorado ,CO,0,0.001,,
Kiowa,Colorado ,CO,0,0.001,,
Kit Carson,Colorado ,CO,0,0.001,,
Lincoln,Colorado ,CO,0,0.001,,
Logan,Colorado ,CO,0,0.001,,
Mineral,Colorado ,CO,0,0.001,,
Morgan,Colorado ,CO,0,0.001,,
Otero,Colorado ,CO,0,0.001,,
Phillips,Colorado ,CO,0,0.001,,
Prowers,Colorado ,CO,0,0.001,,
Rio Grande,Colorado ,CO,0,0.001,,
Saguache,Colorado ,CO,0,0.001,,
San Miguel,Colorado ,CO,0,0.001,,
Sedgwick,Colorado ,CO,0,0.001,,
Washington,Colorado ,CO,0,0.001,,
Yuma,Colorado ,CO,0,0.001,,
