ENC_COUNTY,ENC_STATE,STATE_ABRV,NUM_ENC,NUM_EST,,
Alachua,Florida ,FL,4,4,,
Baker,Florida ,FL,5,5,,
Bay,Florida ,FL,4,4,,
Bradford,Florida ,FL,2,2,,
Brevard,Florida ,FL,7,7,,
Broward,Florida ,FL,5,5,,
Calhoun,Florida ,FL,7,7,,
Charlotte,Florida ,FL,6,6,,
Citrus,Florida ,FL,4,4,,
Clay,Florida ,FL,22,22,,
Collier,Florida ,FL,21,21,,
Miami-Dade,Florida ,FL,7,7,,
Dixie,Florida ,FL,1,1,,
Duval,Florida ,FL,7,7,,
Escambia,Florida ,FL,3,3,,
Flagler,Florida ,FL,3,3,,
Gadsden,Florida ,FL,2,2,,
Gilchrist,Florida ,FL,1,1,,
Gulf,Florida ,FL,1,1,,
Hendry,Florida ,FL,1,1,,
Hernando,Florida ,FL,4,4,,
Highlands,Florida ,FL,1,1,,
Hillsborough,Florida ,FL,11,11,,
Holmes,Florida ,FL,11,11,,
Indian River,Florida ,FL,1,1,,
Jackson,Florida ,FL,47,47,,
Jefferson,Florida ,FL,56,56,,
Lake,Florida ,FL,37,37,,
Lee,Florida ,FL,19,19,,
Leon,Florida ,FL,3,3,,
Levy,Florida ,FL,11,11,,
Liberty,Florida ,FL,13,13,,
Madison,Florida ,FL,38,38,,
Manatee,Florida ,FL,3,3,,
Marion,Florida ,FL,40,40,,
Martin,Florida ,FL,6,6,,
Monroe,Florida ,FL,23,23,,
Okaloosa,Florida ,FL,8,8,,
Okeechobee,Florida ,FL,2,2,,
Orange,Florida ,FL,14,14,,
Osceola,Florida ,FL,11,11,,
Palm Beach,Florida ,FL,3,3,,
Pasco,Florida ,FL,8,8,,
Pinellas,Florida ,FL,2,2,,
Polk,Florida ,FL,36,36,,
Putnam,Florida ,FL,7,7,,
Santa Rosa,Florida ,FL,2,2,,
Sarasota,Florida ,FL,6,6,,
Seminole,Florida ,FL,5,5,,
Saint Johns,Florida ,FL,4,4,,
Sumter,Florida ,FL,9,9,,
Suwannee,Florida ,FL,6,6,,
Volusia,Florida ,FL,12,12,,
Wakulla,Florida ,FL,1,1,,
Washington,Florida ,FL,54,54,,
Columbia,Florida ,FL,0,0.01,,
DeSoto,Florida ,FL,0,0.01,,
Franklin,Florida ,FL,0,0.01,,
Glades,Florida ,FL,0,0.01,,
Hamilton,Florida ,FL,0,0.01,,
Hardee,Florida ,FL,0,0.01,,
Lafayette,Florida ,FL,0,0.01,,
Nassau,Florida ,FL,0,0.01,,
Saint Lucie,Florida ,FL,0,0.01,,
Taylor,Florida ,FL,0,0.01,,
Union,Florida ,FL,0,0.01,,
Walton,Florida ,FL,0,0.01,,
