ENC_COUNTY,ENC_STATE,STATE_ABRV,NUM_ENC,NUM_EST,,
Atkinson,Georgia ,GA,3,3,,
Bartow,Georgia ,GA,4,4,,
Berrien,Georgia ,GA,6,6,,
Bibb,Georgia ,GA,2,2,,
Brantley,Georgia ,GA,1,1,,
Brooks,Georgia ,GA,1,1,,
Bulloch,Georgia ,GA,1,1,,
Butts,Georgia ,GA,1,1,,
Carroll,Georgia ,GA,15,15,,
Chatham,Georgia ,GA,1,1,,
Chattooga,Georgia ,GA,1,1,,
Cherokee,Georgia ,GA,15,15,,
Clayton,Georgia ,GA,3,3,,
Clinch,Georgia ,GA,1,1,,
Cobb,Georgia ,GA,1,1,,
Colquitt,Georgia ,GA,1,1,,
Cook,Georgia ,GA,17,17,,
Coweta,Georgia ,GA,2,2,,
Crisp,Georgia ,GA,1,1,,
Dade,Georgia ,GA,7,7,,
Decatur,Georgia ,GA,5,5,,
Dodge,Georgia ,GA,2,2,,
Dougherty,Georgia ,GA,1,1,,
Douglas,Georgia ,GA,27,27,,
Effingham,Georgia ,GA,1,1,,
Elbert,Georgia ,GA,1,1,,
Emanuel,Georgia ,GA,4,4,,
Fannin,Georgia ,GA,7,7,,
Fayette,Georgia ,GA,14,14,,
Floyd,Georgia ,GA,8,8,,
Fulton,Georgia ,GA,17,17,,
Gilmer,Georgia ,GA,1,1,,
Glynn,Georgia ,GA,1,1,,
Gwinnett,Georgia ,GA,2,2,,
Habersham,Georgia ,GA,2,2,,
Hall,Georgia ,GA,2,2,,
Haralson,Georgia ,GA,2,2,,
Heard,Georgia ,GA,1,1,,
Jasper,Georgia ,GA,11,11,,
Jones,Georgia ,GA,1,1,,
Lamar,Georgia ,GA,4,4,,
Lanier,Georgia ,GA,1,1,,
Lee,Georgia ,GA,19,19,,
Liberty,Georgia ,GA,13,13,,
Lincoln,Georgia ,GA,16,16,,
Long,Georgia ,GA,3,3,,
Macon,Georgia ,GA,11,11,,
Murray,Georgia ,GA,4,4,,
Paulding,Georgia ,GA,9,9,,
Pickens,Georgia ,GA,4,4,,
Polk,Georgia ,GA,36,36,,
Rabun,Georgia ,GA,3,3,,
Randolph,Georgia ,GA,16,16,,
Richmond,Georgia ,GA,3,3,,
Spalding,Georgia ,GA,1,1,,
Stephens,Georgia ,GA,1,1,,
Stewart,Georgia ,GA,1,1,,
Sumter,Georgia ,GA,9,9,,
Tattnall,Georgia ,GA,2,2,,
Troup,Georgia ,GA,2,2,,
Union,Georgia ,GA,14,14,,
Upson,Georgia ,GA,1,1,,
Walker,Georgia ,GA,13,13,,
Wayne,Georgia ,GA,14,14,,
White,Georgia ,GA,16,16,,
Whitfield,Georgia ,GA,1,1,,
Wilkinson,Georgia ,GA,1,1,,
Appling,Georgia ,GA,0,0.01,,
Bacon,Georgia ,GA,0,0.01,,
Baker,Georgia ,GA,0,0.01,,
Baldwin,Georgia ,GA,0,0.01,,
Banks,Georgia ,GA,0,0.01,,
Barrow,Georgia ,GA,0,0.01,,
Ben Hill,Georgia ,GA,0,0.01,,
Bleckley,Georgia ,GA,0,0.01,,
Bryan,Georgia ,GA,0,0.01,,
Burke,Georgia ,GA,0,0.01,,
Calhoun,Georgia ,GA,0,0.01,,
Camden,Georgia ,GA,0,0.01,,
Candler,Georgia ,GA,0,0.01,,
Catoosa,Georgia ,GA,0,0.01,,
Charlton,Georgia ,GA,0,0.01,,
Chattahoochee,Georgia ,GA,0,0.01,,
Clarke,Georgia ,GA,0,0.01,,
Clay,Georgia ,GA,0,0.01,,
Coffee,Georgia ,GA,0,0.01,,
Columbia,Georgia ,GA,0,0.01,,
Crawford,Georgia ,GA,0,0.01,,
Dawson,Georgia ,GA,0,0.01,,
DeKalb,Georgia ,GA,0,0.01,,
Dooly,Georgia ,GA,0,0.01,,
Early,Georgia ,GA,0,0.01,,
Echols,Georgia ,GA,0,0.01,,
Evans,Georgia ,GA,0,0.01,,
Forsyth,Georgia ,GA,0,0.01,,
Franklin,Georgia ,GA,0,0.01,,
Glascock,Georgia ,GA,0,0.01,,
Gordon,Georgia ,GA,0,0.01,,
Grady,Georgia ,GA,0,0.01,,
Greene,Georgia ,GA,0,0.01,,
Hancock,Georgia ,GA,0,0.01,,
Harris,Georgia ,GA,0,0.01,,
Hart,Georgia ,GA,0,0.01,,
Henry,Georgia ,GA,0,0.01,,
Houston,Georgia ,GA,0,0.01,,
Irwin,Georgia ,GA,0,0.01,,
Jackson,Georgia ,GA,0,0.01,,
Jeff Davis,Georgia ,GA,0,0.01,,
Jefferson,Georgia ,GA,0,0.01,,
Jenkins,Georgia ,GA,0,0.01,,
Johnson,Georgia ,GA,0,0.01,,
Laurens,Georgia ,GA,0,0.01,,
Lowndes,Georgia ,GA,0,0.01,,
Lumpkin,Georgia ,GA,0,0.01,,
Madison,Georgia ,GA,0,0.01,,
Marion,Georgia ,GA,0,0.01,,
McDuffie,Georgia ,GA,0,0.01,,
McIntosh,Georgia ,GA,0,0.01,,
Meriwether,Georgia ,GA,0,0.01,,
Miller,Georgia ,GA,0,0.01,,
Mitchell,Georgia ,GA,0,0.01,,
Monroe,Georgia ,GA,0,0.01,,
Montgomery,Georgia ,GA,0,0.01,,
Morgan,Georgia ,GA,0,0.01,,
Muscogee,Georgia ,GA,0,0.01,,
Newton,Georgia ,GA,0,0.01,,
Oconee,Georgia ,GA,0,0.01,,
Oglethorpe,Georgia ,GA,0,0.01,,
Peach,Georgia ,GA,0,0.01,,
Pierce,Georgia ,GA,0,0.01,,
Pike,Georgia ,GA,0,0.01,,
Pulaski,Georgia ,GA,0,0.01,,
Putnam,Georgia ,GA,0,0.01,,
Quitman,Georgia ,GA,0,0.01,,
Rockdale,Georgia ,GA,0,0.01,,
Schley,Georgia ,GA,0,0.01,,
Screven,Georgia ,GA,0,0.01,,
Seminole,Georgia ,GA,0,0.01,,
Talbot,Georgia ,GA,0,0.01,,
Taliaferro,Georgia ,GA,0,0.01,,
Taylor,Georgia ,GA,0,0.01,,
Telfair,Georgia ,GA,0,0.01,,
Terrell,Georgia ,GA,0,0.01,,
Thomas,Georgia ,GA,0,0.01,,
Tift,Georgia ,GA,0,0.01,,
Toombs,Georgia ,GA,0,0.01,,
Towns,Georgia ,GA,0,0.01,,
Treutlen,Georgia ,GA,0,0.01,,
Turner,Georgia ,GA,0,0.01,,
Twiggs,Georgia ,GA,0,0.01,,
Walker,Georgia ,GA,0,0.01,,
Walton,Georgia ,GA,0,0.01,,
Ware,Georgia ,GA,0,0.01,,
Warren,Georgia ,GA,0,0.01,,
Washington,Georgia ,GA,0,0.01,,
Webster,Georgia ,GA,0,0.01,,
Wheeler,Georgia ,GA,0,0.01,,
Wilcox,Georgia ,GA,0,0.01,,
Wilkes,Georgia ,GA,0,0.01,,
Worth,Georgia ,GA,0,0.01,,
