ENC_COUNTY,ENC_STATE,STATE_ABRV,NUM_ENC,NUM_EST
Allen,Kentucky ,KY,3,3
Anderson,Kentucky ,KY,10,10
Ballard,Kentucky ,KY,1,1
Barren,Kentucky ,KY,1,1
Bell,Kentucky ,KY,2,2
Boone,Kentucky ,KY,13,13
Boyd,Kentucky ,KY,1,1
Breathitt,Kentucky ,KY,1,1
Carroll,Kentucky ,KY,15,15
Carter,Kentucky ,KY,4,4
Casey,Kentucky ,KY,1,1
Clark,Kentucky ,KY,23,23
Crittenden,Kentucky ,KY,4,4
Daviess,Kentucky ,KY,3,3
Elliott,Kentucky ,KY,1,1
Fleming,Kentucky ,KY,2,2
Franklin,Kentucky ,KY,23,23
Grant,Kentucky ,KY,9,9
Grayson,Kentucky ,KY,8,8
Greenup,Kentucky ,KY,3,3
Harlan,Kentucky ,KY,5,5
Henry,Kentucky ,KY,7,7
Hopkins,Kentucky ,KY,6,6
Jackson,Kentucky ,KY,47,47
Jefferson,Kentucky ,KY,56,56
Jessamine,Kentucky ,KY,1,1
Johnson,Kentucky ,KY,10,10
Larue,Kentucky ,KY,1,1
Laurel,Kentucky ,KY,2,2
Lawrence,Kentucky ,KY,24,24
Lee,Kentucky ,KY,19,19
Letcher,Kentucky ,KY,2,2
Lewis,Kentucky ,KY,51,51
Lincoln,Kentucky ,KY,16,16
Logan,Kentucky ,KY,13,13
Madison,Kentucky ,KY,38,38
Magoffin,Kentucky ,KY,1,1
Marshall,Kentucky ,KY,8,8
Martin,Kentucky ,KY,6,6
Mason,Kentucky ,KY,29,29
McCreary,Kentucky ,KY,2,2
McLean,Kentucky ,KY,2,2
Meade,Kentucky ,KY,2,2
Metcalfe,Kentucky ,KY,1,1
Nelson,Kentucky ,KY,2,2
Perry,Kentucky ,KY,12,12
Pike,Kentucky ,KY,15,15
Powell,Kentucky ,KY,4,4
Rockcastle,Kentucky ,KY,1,1
Rowan,Kentucky ,KY,2,2
Shelby,Kentucky ,KY,9,9
Simpson,Kentucky ,KY,2,2
Taylor,Kentucky ,KY,1,1
Trigg,Kentucky ,KY,4,4
Union,Kentucky ,KY,14,14
Whitley,Kentucky ,KY,1,1
Bourbon,Kentucky ,KY,0,0.01
Boyle,Kentucky ,KY,0,0.01
Bracken,Kentucky ,KY,0,0.01
Breckinridge,Kentucky ,KY,0,0.01
Bullitt,Kentucky ,KY,0,0.01
Butler,Kentucky ,KY,0,0.01
Caldwell,Kentucky ,KY,0,0.01
Calloway,Kentucky ,KY,0,0.01
Campbell,Kentucky ,KY,0,0.01
Carlisle,Kentucky ,KY,0,0.01
Christian,Kentucky ,KY,0,0.01
Clay,Kentucky ,KY,0,0.01
Clinton,Kentucky ,KY,0,0.01
Cumberland,Kentucky ,KY,0,0.01
Edmonson,Kentucky ,KY,0,0.01
Estill,Kentucky ,KY,0,0.01
Fayette,Kentucky ,KY,0,0.01
Floyd,Kentucky ,KY,0,0.01
Fulton,Kentucky ,KY,0,0.01
Gallatin,Kentucky ,KY,0,0.01
Garrard,Kentucky ,KY,0,0.01
Graves,Kentucky ,KY,0,0.01
Green,Kentucky ,KY,0,0.01
Hancock,Kentucky ,KY,0,0.01
Hardin,Kentucky ,KY,0,0.01
Harrison,Kentucky ,KY,0,0.01
Hart,Kentucky ,KY,0,0.01
Henderson,Kentucky ,KY,0,0.01
Hickman,Kentucky ,KY,0,0.01
Kenton,Kentucky ,KY,0,0.01
Knott,Kentucky ,KY,0,0.01
Knox,Kentucky ,KY,0,0.01
Leslie,Kentucky ,KY,0,0.01
Lincoln,Kentucky ,KY,0,0.01
Livingston,Kentucky ,KY,0,0.01
Lyon,Kentucky ,KY,0,0.01
Marion,Kentucky ,KY,0,0.01
Mason,Kentucky ,KY,0,0.01
McCracken,Kentucky ,KY,0,0.01
McCreary,Kentucky ,KY,0,0.01
Menifee,Kentucky ,KY,0,0.01
Mercer,Kentucky ,KY,0,0.01
Monroe,Kentucky ,KY,0,0.01
Montgomery,Kentucky ,KY,0,0.01
Morgan,Kentucky ,KY,0,0.01
Muhlenberg,Kentucky ,KY,0,0.01
Nicholas,Kentucky ,KY,0,0.01
Ohio,Kentucky ,KY,0,0.01
Oldham,Kentucky ,KY,0,0.01
Owen,Kentucky ,KY,0,0.01
Owsley,Kentucky ,KY,0,0.01
Pendleton,Kentucky ,KY,0,0.01
Pulaski,Kentucky ,KY,0,0.01
Robertson,Kentucky ,KY,0,0.01
Russell,Kentucky ,KY,0,0.01
Scott,Kentucky ,KY,0,0.01
Spencer,Kentucky ,KY,0,0.01
Todd,Kentucky ,KY,0,0.01
Trimble,Kentucky ,KY,0,0.01
Warren,Kentucky ,KY,0,0.01
Washington,Kentucky ,KY,0,0.01
Wayne,Kentucky ,KY,0,0.01
Webster,Kentucky ,KY,0,0.01
Wolfe,Kentucky ,KY,0,0.01
Woodford,Kentucky ,KY,0,0.01
Adair,Kentucky ,KY,0,0.01
Bath,Kentucky ,KY,0,0.01
