ENC_COUNTY,ENC_STATE,STATE_ABRV,NUM_ENC,NUM_EST,,
Barnstable,Massachusetts ,MA,2,2,,
Berkshire,Massachusetts ,MA,8,8,,
Bristol,Massachusetts ,MA,2,2,,
Essex,Massachusetts ,MA,14,14,,
Franklin,Massachusetts ,MA,23,23,,
Hampden,Massachusetts ,MA,2,2,,
Hampshire,Massachusetts ,MA,3,3,,
Plymouth,Massachusetts ,MA,5,5,,
Worcester,Massachusetts ,MA,6,6,,
Dukes,Massachusetts ,MA,0,0.01,,
Middlesex,Massachusetts ,MA,0,0.01,,
Nantucket,Massachusetts ,MA,0,0.01,,
Norfolk,Massachusetts ,MA,0,0.01,,
Suffolk,Massachusetts ,MA,0,0.01,,
