ENC_COUNTY,ENC_STATE,STATE_ABRV,NUM_ENC,NUM_EST
Allegany,Maryland ,MD,3,3
Anne Arundel,Maryland ,MD,9,9
Baltimore,Maryland ,MD,3,3
Carroll,Maryland ,MD,15,15
Cecil,Maryland ,MD,1,1
Dorchester,Maryland ,MD,2,2
Frederick,Maryland ,MD,2,2
Garrett,Maryland ,MD,1,1
Harford,Maryland ,MD,6,6
Howard,Maryland ,MD,3,3
Montgomery,Maryland ,MD,38,38
Prince George's,Maryland ,MD,2,2
Washington,Maryland ,MD,54,54
Worcester,Maryland ,MD,6,6
Calvert,Maryland ,MD,0,0.01
Caroline,Maryland ,MD,0,0.01
Charles,Maryland ,MD,0,0.01
Kent,Maryland ,MD,0,0.01
Queen Anne's,Maryland ,MD,0,0.01
Saint Mary's,Maryland ,MD,0,0.01
Somerset,Maryland ,MD,0,0.01
Talbot,Maryland ,MD,0,0.01
Wicomico,Maryland ,MD,0,0.01
Baltimore,Maryland ,MD,3,3
