ENC_COUNTY,ENC_STATE,STATE_ABRV,NUM_ENC,NUM_EST,,
Atoka,Oklahoma ,OK,2,2,,
Caddo,Oklahoma ,OK,5,5,,
Carter,Oklahoma ,OK,4,4,,
Cherokee,Oklahoma ,OK,15,15,,
Choctaw,Oklahoma ,OK,1,1,,
Cleveland,Oklahoma ,OK,7,7,,
Comanche,Oklahoma ,OK,3,3,,
Creek,Oklahoma ,OK,1,1,,
Delaware,Oklahoma ,OK,8,8,,
Garvin,Oklahoma ,OK,1,1,,
Harmon,Oklahoma ,OK,1,1,,
Hughes,Oklahoma ,OK,1,1,,
Johnston,Oklahoma ,OK,3,3,,
Latimer,Oklahoma ,OK,2,2,,
Le Flore,Oklahoma ,OK,23,23,,
Lincoln,Oklahoma ,OK,16,16,,
Logan,Oklahoma ,OK,13,13,,
Love,Oklahoma ,OK,1,1,,
Major,Oklahoma ,OK,1,1,,
Marshall,Oklahoma ,OK,8,8,,
Mayes,Oklahoma ,OK,2,2,,
McClain,Oklahoma ,OK,1,1,,
McCurtain,Oklahoma ,OK,6,6,,
McIntosh,Oklahoma ,OK,2,2,,
Murray,Oklahoma ,OK,4,4,,
Muskogee,Oklahoma ,OK,2,2,,
Nowata,Oklahoma ,OK,1,1,,
Oklahoma,Oklahoma ,OK,3,3,,
Osage,Oklahoma ,OK,3,3,,
Ottawa,Oklahoma ,OK,5,5,,
Payne,Oklahoma ,OK,3,3,,
Pittsburg,Oklahoma ,OK,1,1,,
Pontotoc,Oklahoma ,OK,1,1,,
Pushmataha,Oklahoma ,OK,2,2,,
Roger Mills,Oklahoma ,OK,1,1,,
Rogers,Oklahoma ,OK,1,1,,
Seminole,Oklahoma ,OK,5,5,,
Sequoyah,Oklahoma ,OK,2,2,,
Tillman,Oklahoma ,OK,1,1,,
Tulsa,Oklahoma ,OK,4,4,,
Washita,Oklahoma ,OK,1,1,,
Adair,Oklahoma ,OK,0,0.01,,
Alfalfa,Oklahoma ,OK,0,0.01,,
Beaver,Oklahoma ,OK,0,0.01,,
Beckham,Oklahoma ,OK,0,0.01,,
Blaine,Oklahoma ,OK,0,0.01,,
Bryan,Oklahoma ,OK,0,0.01,,
Canadian,Oklahoma ,OK,0,0.01,,
Cimarron,Oklahoma ,OK,0,0.01,,
Coal,Oklahoma ,OK,0,0.01,,
Cotton,Oklahoma ,OK,0,0.01,,
Craig,Oklahoma ,OK,0,0.01,,
Custer,Oklahoma ,OK,0,0.01,,
Dewey,Oklahoma ,OK,0,0.01,,
Ellis,Oklahoma ,OK,0,0.01,,
Garfield,Oklahoma ,OK,0,0.01,,
Grady,Oklahoma ,OK,0,0.01,,
Grant,Oklahoma ,OK,0,0.01,,
Greer,Oklahoma ,OK,0,0.01,,
Harper,Oklahoma ,OK,0,0.01,,
Haskell,Oklahoma ,OK,0,0.01,,
Jackson,Oklahoma ,OK,0,0.01,,
Jefferson,Oklahoma ,OK,0,0.01,,
Kay,Oklahoma ,OK,0,0.01,,
Kingfisher,Oklahoma ,OK,0,0.01,,
Kiowa,Oklahoma ,OK,0,0.01,,
Noble,Oklahoma ,OK,0,0.01,,
Okfuskee,Oklahoma ,OK,0,0.01,,
Okmulgee,Oklahoma ,OK,0,0.01,,
Pawnee,Oklahoma ,OK,0,0.01,,
Pottawatomie,Oklahoma ,OK,0,0.01,,
Stephens,Oklahoma ,OK,0,0.01,,
Texas,Oklahoma ,OK,0,0.01,,
Wagoner,Oklahoma ,OK,0,0.01,,
Washington,Oklahoma ,OK,0,0.01,,
Woods,Oklahoma ,OK,0,0.01,,
Woodward,Oklahoma ,OK,0,0.01,,
