ENC_COUNTY,ENC_STATE,STATE_ABRV,NUM_ENC,NUM_EST,,
Anderson,Tennessee ,TN,10,10,,
Blount,Tennessee ,TN,4,4,,
Bradley,Tennessee ,TN,2,2,,
Campbell,Tennessee ,TN,2,2,,
Cannon,Tennessee ,TN,2,2,,
Carroll,Tennessee ,TN,15,15,,
Carter,Tennessee ,TN,4,4,,
Cheatham,Tennessee ,TN,1,1,,
Coffee,Tennessee ,TN,2,2,,
Crockett,Tennessee ,TN,1,1,,
Cumberland,Tennessee ,TN,5,5,,
Davidson,Tennessee ,TN,4,4,,
Dickson,Tennessee ,TN,4,4,,
Dyer,Tennessee ,TN,2,2,,
Fentress,Tennessee ,TN,1,1,,
Gibson,Tennessee ,TN,2,2,,
Giles,Tennessee ,TN,6,6,,
Grainger,Tennessee ,TN,1,1,,
Greene,Tennessee ,TN,13,13,,
Grundy,Tennessee ,TN,5,5,,
Hamilton,Tennessee ,TN,10,10,,
Hardeman,Tennessee ,TN,1,1,,
Hawkins,Tennessee ,TN,2,2,,
Haywood,Tennessee ,TN,4,4,,
Henderson,Tennessee ,TN,9,9,,
Hickman,Tennessee ,TN,3,3,,
Humphreys,Tennessee ,TN,1,1,,
Lauderdale,Tennessee ,TN,6,6,,
Lawrence,Tennessee ,TN,24,24,,
Lewis,Tennessee ,TN,51,51,,
Lincoln,Tennessee ,TN,16,16,,
Loudon,Tennessee ,TN,1,1,,
Marshall,Tennessee ,TN,8,8,,
Maury,Tennessee ,TN,1,1,,
McMinn,Tennessee ,TN,2,2,,
Monroe,Tennessee ,TN,23,23,,
Montgomery,Tennessee ,TN,38,38,,
Morgan,Tennessee ,TN,17,17,,
Obion,Tennessee ,TN,1,1,,
Perry,Tennessee ,TN,12,12,,
Polk,Tennessee ,TN,36,36,,
Rhea,Tennessee ,TN,1,1,,
Roane,Tennessee ,TN,1,1,,
Robertson,Tennessee ,TN,1,1,,
Rutherford,Tennessee ,TN,4,4,,
Scott,Tennessee ,TN,8,8,,
Sevier,Tennessee ,TN,10,10,,
Shelby,Tennessee ,TN,9,9,,
Sullivan,Tennessee ,TN,3,3,,
Sumner,Tennessee ,TN,4,4,,
Tipton,Tennessee ,TN,4,4,,
Unicoi,Tennessee ,TN,1,1,,
Williamson,Tennessee ,TN,6,6,,
Wilson,Tennessee ,TN,4,4,,
Bedford,Tennessee ,TN,0,0.01,,
Benton,Tennessee ,TN,0,0.01,,
Bledsoe,Tennessee ,TN,0,0.01,,
Chester,Tennessee ,TN,0,0.01,,
Claiborne,Tennessee ,TN,0,0.01,,
Clay,Tennessee ,TN,0,0.01,,
Cocke,Tennessee ,TN,0,0.01,,
Decatur,Tennessee ,TN,0,0.01,,
DeKalb,Tennessee ,TN,0,0.01,,
Fayette,Tennessee ,TN,0,0.01,,
Franklin,Tennessee ,TN,0,0.01,,
Hamblen,Tennessee ,TN,0,0.01,,
Hancock,Tennessee ,TN,0,0.01,,
Hardin,Tennessee ,TN,0,0.01,,
Henry,Tennessee ,TN,0,0.01,,
Houston,Tennessee ,TN,0,0.01,,
Jackson,Tennessee ,TN,0,0.01,,
Jefferson,Tennessee ,TN,0,0.01,,
Johnson,Tennessee ,TN,0,0.01,,
Knox,Tennessee ,TN,0,0.01,,
Lake,Tennessee ,TN,0,0.01,,
Macon,Tennessee ,TN,0,0.01,,
Madison,Tennessee ,TN,0,0.01,,
Marion,Tennessee ,TN,0,0.01,,
McNairy,Tennessee ,TN,0,0.01,,
Meigs,Tennessee ,TN,0,0.01,,
Moore,Tennessee ,TN,0,0.01,,
Overton,Tennessee ,TN,0,0.01,,
Pickett,Tennessee ,TN,0,0.01,,
Putnam,Tennessee ,TN,0,0.01,,
Sequatchie,Tennessee ,TN,0,0.01,,
Smith,Tennessee ,TN,0,0.01,,
Stewart,Tennessee ,TN,0,0.01,,
Trousdale,Tennessee ,TN,0,0.01,,
Union,Tennessee ,TN,0,0.01,,
Van Buren,Tennessee ,TN,0,0.01,,
Warren,Tennessee ,TN,0,0.01,,
Washington,Tennessee ,TN,0,0.01,,
Wayne,Tennessee ,TN,0,0.01,,
Weakley,Tennessee ,TN,0,0.01,,
White,Tennessee ,TN,0,0.01,,
